"time","I.re","I.im"
0.8508,9.9998082684749842e-06,2.5692271058024699e-10
0.85100000000000009,9.9998082717153951e-06,2.5693350319723147e-10
0.85120000000000007,9.9998082750714989e-06,2.5694434151734769e-10
0.85140000000000005,9.9998082781081019e-06,2.5695529039037591e-10
0.85160000000000002,9.999808281349802e-06,2.5696632671449897e-10
0.8518,9.9998082847525078e-06,2.5697723559731194e-10
0.85200000000000009,9.9998082881057503e-06,2.5698839920359378e-10
0.85220000000000007,9.9998082912078713e-06,2.5699923630072533e-10
0.85240000000000005,9.9998082945712307e-06,2.5701021288059117e-10
0.85260000000000002,9.9998082977030029e-06,2.5702120508004906e-10
0.8528,9.9998083008379989e-06,2.5703190984651676e-10
0.85300000000000009,9.9998083041262079e-06,2.570428161403604e-10
0.85320000000000007,9.9998083075506402e-06,2.5705401771968833e-10
0.85340000000000005,9.9998083108730202e-06,2.5706498374982612e-10
0.85360000000000003,9.9998083142373283e-06,2.5707591379782937e-10
0.8538,9.9998083171900174e-06,2.5708689235991836e-10
0.85400000000000009,9.9998083207481521e-06,2.5709790808623769e-10
0.85420000000000007,9.9998083237205703e-06,2.5710886503608137e-10
0.85440000000000005,9.9998083270869926e-06,2.5711987691191663e-10
0.85460000000000003,9.9998083302015717e-06,2.5713073885985499e-10
0.8548,9.9998083335794476e-06,2.5714171078046494e-10
0.85500000000000009,9.9998083366838996e-06,2.5715245307236639e-10
0.85520000000000007,9.999808340352977e-06,2.5716353906403751e-10
0.85540000000000005,9.9998083434311337e-06,2.571747592656774e-10
0.85560000000000003,9.9998083468534602e-06,2.5718518762777152e-10
0.85580000000000001,9.9998083499921052e-06,2.5719662683435165e-10
0.85600000000000009,9.9998083528894458e-06,2.572071967174627e-10
0.85620000000000007,9.9998083568071002e-06,2.5721837019744496e-10
0.85640000000000005,9.9998083596680827e-06,2.5722936522298816e-10
0.85660000000000003,9.9998083631260981e-06,2.5724017508166039e-10
0.85680000000000001,9.9998083663233849e-06,2.5725132778397833e-10
0.8570000000000001,9.9998083696059832e-06,2.5726213260578113e-10
0.85720000000000007,9.9998083726731945e-06,2.5727294199175956e-10
0.85740000000000005,9.9998083763318483e-06,2.5728388416135984e-10
0.85760000000000003,9.99980837942938e-06,2.5729488551975831e-10
0.85780000000000001,9.9998083827818805e-06,2.5730580285868421e-10
0.8580000000000001,9.9998083858129795e-06,2.5731680683639621e-10
0.85820000000000007,9.9998083892174844e-06,2.5732756913946944e-10
0.85840000000000005,9.9998083924455134e-06,2.5733845699131481e-10
0.85860000000000003,9.9998083956876963e-06,2.5734942507898289e-10
0.85880000000000001,9.9998083991068194e-06,2.5736060430320118e-10
0.85899999999999999,9.9998084024922999e-06,2.5737142715425392e-10
0.85920000000000007,9.9998084055099056e-06,2.5738241951434626e-10
0.85940000000000005,9.9998084090410115e-06,2.5739305439954188e-10
0.85960000000000003,9.9998084119496549e-06,2.5740406130631811e-10
0.85980000000000001,9.9998084152490634e-06,2.5741523132641076e-10
0.85999999999999999,9.9998084185323308e-06,2.5742585763157653e-10
0.86020000000000008,9.9998084219109148e-06,2.5743681400775112e-10
0.86040000000000005,9.9998084252078601e-06,2.5744781721760677e-10
0.86060000000000003,9.9998084286321738e-06,2.5745852293794482e-10
0.86080000000000001,9.9998084318068431e-06,2.5746966555494141e-10
0.86099999999999999,9.9998084348841697e-06,2.5748053357460529e-10
0.86120000000000008,9.9998084381288039e-06,2.5749156495443698e-10
0.86140000000000005,9.999808441528064e-06,2.5750236859092088e-10
0.86160000000000003,9.9998084448394902e-06,2.5751326478474945e-10
0.86180000000000001,9.9998084481676504e-06,2.5752416144635413e-10
0.86199999999999999,9.9998084510167897e-06,2.5753512381660069e-10
0.86220000000000008,9.9998084545164588e-06,2.5754612784851908e-10
0.86240000000000006,9.9998084580619269e-06,2.5755687548013339e-10
0.86260000000000003,9.9998084611631754e-06,2.5756774107792308e-10
0.86280000000000001,9.9998084646914929e-06,2.5757858703624948e-10
0.86299999999999999,9.9998084678396924e-06,2.5758972459936919e-10
0.86320000000000008,9.999808471248773e-06,2.5760058235551582e-10
0.86340000000000006,9.9998084742920726e-06,2.5761143280172801e-10
0.86360000000000003,9.9998084777109297e-06,2.5762221317463886e-10
0.86380000000000001,9.999808480675584e-06,2.5763336005249903e-10
0.86399999999999999,9.9998084843403787e-06,2.5764423882812084e-10
0.86420000000000008,9.9998084872314259e-06,2.5765513837285817e-10
0.86440000000000006,9.9998084907575935e-06,2.576659262612746e-10
0.86460000000000004,9.999808494104363e-06,2.5767688255886507e-10
0.86480000000000001,9.9998084973742049e-06,2.5768800268561582e-10
0.86499999999999999,9.9998085005703601e-06,2.5769855397718799e-10
0.86520000000000008,9.9998085039458965e-06,2.5770940172458167e-10
0.86540000000000006,9.9998085072041189e-06,2.5772028484690556e-10
0.86560000000000004,9.9998085104980386e-06,2.5773124009938372e-10
0.86580000000000001,9.9998085135472979e-06,2.5774217136455284e-10
0.86599999999999999,9.9998085167233377e-06,2.5775283975740385e-10
0.86620000000000008,9.999808520227286e-06,2.5776417728915755e-10
0.86640000000000006,9.9998085240717703e-06,2.5777464314699605e-10
0.86660000000000004,9.9998085266263963e-06,2.5778582068029007e-10
0.86680000000000001,9.9998085301316117e-06,2.5779675609051356e-10
0.86699999999999999,9.9998085336270558e-06,2.5780733007879315e-10
0.86720000000000008,9.9998085366917888e-06,2.5781844094284706e-10
0.86740000000000006,9.999808539810376e-06,2.5782932456751102e-10
0.86760000000000004,9.9998085431220461e-06,2.5784028147534819e-10
0.86780000000000002,9.9998085468112202e-06,2.5785138681388669e-10
0.86799999999999999,9.9998085501001509e-06,2.5786202722305224e-10
0.86820000000000008,9.9998085531850229e-06,2.5787306027313943e-10
0.86840000000000006,9.9998085562361558e-06,2.5788368210208328e-10
0.86860000000000004,9.9998085595841857e-06,2.5789430862544026e-10
0.86880000000000002,9.999808563076323e-06,2.5790574441381356e-10
